,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name,Subscribers
312,"J Balvin, Michael Brun - Positivo (Official Video)",jbalvinVEVO,2018-04-30T03:47:31Z,13659992,264821,15180,uJ9M_7zSa3s,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
313,J Balvin - Ambiente (Official Video),jbalvinVEVO,2018-04-13T05:00:05Z,417949009,1490089,33040,rzgw0XldTC0,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
314,J. Balvin - Ahora (Official Video),jbalvinVEVO,2018-02-26T05:00:01Z,230534457,1029848,30063,BQ31l1gPGKM,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
315,"J. Balvin, Jeon, Anitta - Machika (Official Video)",jbalvinVEVO,2018-01-19T05:00:01Z,206997480,2142047,99345,liczsmUSMA4,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
316,"J. Balvin, Jowell & Randy - Bonita (Remix) ft. Nicky Jam, Wisin, Yandel, Ozuna",jbalvinVEVO,2017-12-22T05:00:03Z,108128006,488327,11951,tLOl3s0uIM4,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
317,"J Balvin, Willy William - Mi Gente (Official Video)",jbalvinVEVO,2017-06-30T04:00:05Z,3238088713,17733350,523163,wnJ6LuUFpMo,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
318,"J. Balvin, Jowell & Randy - Bonita (Official Video)",jbalvinVEVO,2017-06-02T04:00:00Z,442074975,2011645,54772,SqpvOqRieYY,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
319,J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),jbalvinVEVO,2017-03-04T00:00:01Z,1002962080,3627912,117617,Km4BayZykwE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
320,J Balvin - Sigo Extrañándote (Official Video),jbalvinVEVO,2017-02-17T05:00:04Z,503060436,1999265,55260,nZ0zbsZOdwg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
321,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",jbalvinVEVO,2016-09-02T07:00:00Z,1101857847,3935600,92696,JWESLtAKKlU,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
322,J Balvin - Bobo (Official Video),jbalvinVEVO,2016-05-13T15:00:01Z,648716610,2190064,77516,0GvLP2C2w9U,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
323,J. Balvin - Ginza (Official Video),jbalvinVEVO,2015-07-21T16:00:03Z,859995331,3511684,121635,zZjSX01P5dE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
324,J. Balvin - Ay Vamos (Official Video),jbalvinVEVO,2014-08-29T16:06:21Z,1938742722,5418889,133218,TapXs54Ah3E,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
325,J Balvin - 6 AM ft. Farruko,jbalvinVEVO,2014-04-04T19:30:01Z,1192554148,2998561,68467,yUV9JwiQLog,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
326,J Balvin - Sola (Official Video),jbalvinVEVO,2013-10-03T15:40:00Z,90767616,307118,8416,Nk4N_LGWNA4,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
327,J Balvin - Tranquila (Official Video),jbalvinVEVO,2012-12-18T16:53:34Z,499088856,2137727,92309,HWyEEj2pSt0,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
328,J Balvin - Como Un Animal (Official Video),jbalvinVEVO,2012-04-24T00:00:08Z,12322523,53509,1873,BWMQ9pc4elE,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites,34000000
329,J Balvin - En Lo Oscuro (Official Video),jbalvinVEVO,2012-02-22T21:32:51Z,15882324,59211,2565,msETP5UUqYs,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,34000000
