,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
562,Selena Gomez - Look At Her Now (Pop Up Video),SelenaGomezVEVO,2020-01-15T17:00:04Z,5355014,159295,0,HGTOy5ghVb0,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
563,Selena Gomez - Look At Her Now (Alternative Video),SelenaGomezVEVO,2020-01-14T17:00:05Z,3284240,231100,6644,VBL44zN6xHA,PLjRnR35RycB68pG15bAfFgt8ctppFxG71,Selena Gomez - RARE
564,Coldplay X Selena Gomez - Let Somebody Go (Official Video),Coldplay,2022-02-07T17:00:09Z,62897162,1249910,38061,CWCMGIG1Y54,PL7A5913233C7361C5,Music Videos
565,"Selena Gomez, Rauw Alejandro - Baila Conmigo (Official Video)",SelenaGomezVEVO,2021-01-29T05:00:10Z,163414028,2709368,133941,h5WN3pkxPF0,PL7A5913233C7361C5,Music Videos
566,Selena Gomez - De Una Vez (Official Video),SelenaGomezVEVO,2021-01-15T00:00:10Z,97478572,3208233,242200,91VRyTvjoX4,PL7A5913233C7361C5,Music Videos
567,Selena Gomez - Lose You To Love Me (Official Music Video),SelenaGomezVEVO,2019-10-23T04:00:11Z,446165529,8807015,353265,zlJDTxahav0,PL7A5913233C7361C5,Music Videos
568,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,2020-08-28T04:00:11Z,854013295,19813656,3030061,vRXZj0DzXIA,PL7A5913233C7361C5,Music Videos
569,Selena Gomez - Look At Her Now (Official Music Video),SelenaGomezVEVO,2019-10-24T04:00:01Z,237342451,4194732,132548,8u-_64S7plI,PL7A5913233C7361C5,Music Videos
570,Selena Gomez - Rare (Official Music Video),SelenaGomezVEVO,2020-01-10T17:00:13Z,107029207,2447013,104264,ia1iuXbEaYQ,PL7A5913233C7361C5,Music Videos
571,Selena Gomez - Good For You,SelenaGomezVEVO,2015-06-26T13:00:00Z,511526837,3343380,137749,1TsVjvEkc4s,PL7A5913233C7361C5,Music Videos
572,Selena Gomez - Bad Liar,SelenaGomezVEVO,2017-06-14T16:35:47Z,350225108,3447295,125751,NZKXkD6EgBk,PL7A5913233C7361C5,Music Videos
573,"Trevor Daniel, Selena Gomez - Past Life (Official Video)",SelenaGomezVEVO,2020-07-14T16:00:10Z,40516382,1134579,43827,1AhOK4UwAMs,PL7A5913233C7361C5,Music Videos
574,Selena Gomez - Hands To Myself,SelenaGomezVEVO,2016-01-20T08:00:00Z,454857220,3380714,137819,FMlcn-_jpWY,PL7A5913233C7361C5,Music Videos
575,Selena Gomez - Same Old Love,SelenaGomezVEVO,2015-10-07T16:00:01Z,497200872,3751148,96024,9h30Bx4Klxg,PL7A5913233C7361C5,Music Videos
576,"Selena Gomez, Marshmello - Wolves",SelenaGomezVEVO,2017-11-18T16:00:02Z,518953537,5131455,140863,cH4E_t3m3xM,PL7A5913233C7361C5,Music Videos
577,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",DJSnakeVEVO,2018-10-10T00:35:00Z,2471933958,19146221,553276,ixkoVwKQaJg,PL7A5913233C7361C5,Music Videos
578,"benny blanco, Tainy, Selena Gomez, J Balvin - I Can't Get Enough (Official Audio)",benny blanco,2019-02-28T13:00:08Z,23262658,436468,15326,tvRbFMVqlI8,PL7A5913233C7361C5,Music Videos
579,"Trevor Daniel, Selena Gomez - Past Life [Lyrics]",TrevorDanielVEVO,2020-06-26T04:00:11Z,9564551,284800,13764,d3QWmEeKO0w,PL7A5913233C7361C5,Music Videos
580,Selena Gomez - The Heart Wants What It Wants (Official Video),SelenaGomezVEVO,2014-11-06T11:03:00Z,834326713,5816676,207689,ij_0p_6qTss,PL7A5913233C7361C5,Music Videos
581,Selena Gomez & The Scene - Love You Like A Love Song,SelenaGomezVEVO,2011-06-24T00:30:00Z,707035755,5094637,251730,EgT_us6AsDg,PL7A5913233C7361C5,Music Videos
582,Selena Gomez - Come & Get It,SelenaGomezVEVO,2013-05-07T23:53:06Z,784030193,4721430,335099,n-D1EB74Ckg,PL7A5913233C7361C5,Music Videos
583,Selena Gomez - Slow Down (Official),SelenaGomezVEVO,2013-07-20T01:00:09Z,411721796,2701961,154194,Z8eXaXoUJRQ,PL7A5913233C7361C5,Music Videos
584,Selena Gomez - Kill Em With Kindness,SelenaGomezVEVO,2016-06-06T16:00:01Z,543986770,4020345,177042,HHP5MKgK0o8,PL7A5913233C7361C5,Music Videos
585,Selena Gomez - Back To You,SelenaGomezVEVO,2018-06-05T14:00:07Z,271592836,3132525,106664,VY1eFxgRR-k,PL7A5913233C7361C5,Music Videos
586,Selena Gomez - Boyfriend (Official Video),SelenaGomezVEVO,2020-04-10T16:00:10Z,74912816,1682910,77713,tSIk1QvIM2E,PL7A5913233C7361C5,Music Videos
