,Vid-Title,Playlist-Name,channel-Title,Views,Published-date,Likes,Comment-count,Vid-ID
352,The Weeknd x The Dawn FM Experience - Out of Time,The Weeknd,The Weeknd,2849663,2022-02-28T23:38:52Z,78223,2368,fgMV0ZJwBOw
353,The Weeknd x The Dawn FM Experience - How Do I Make You Love Me,The Weeknd,The Weeknd,169632,2022-03-13T16:00:53Z,16009,734,eOpVjbBb-nM
354,The Weeknd x The Dawn FM Experience - Take My Breath,The Weeknd,The Weeknd,1579317,2022-02-28T23:40:10Z,48041,1642,BnBhE9s2Rhk
355,The Weeknd x The Dawn FM Experience - Is There Someone Else,The Weeknd,The Weeknd,2861180,2022-03-01T23:25:02Z,84499,1813,TfEwkrTPyMk
356,The Weeknd x The Dawn FM Experience - Dawn FM/Gasoline,The Weeknd,The Weeknd,112420,2022-03-13T16:00:37Z,10835,503,dXg4L7AWMq0
357,The Weeknd x The Dawn FM Experience - Less Than Zero,The Weeknd,The Weeknd,2183421,2022-03-01T23:24:59Z,63580,2060,gKVdq0FtQXc
358,"The Weeknd, Swedish House Mafia - Sacrifice (Remix / Alternate World)",The Weeknd,TheWeekndVEVO,11181068,2022-01-12T05:00:30Z,243582,7573,lu7lJ5okjyo
359,The Weeknd - 103.5 DAWN FM,The Weeknd,TheWeekndVEVO,12672692,2022-01-17T11:00:21Z,226111,7765,hWlYEaxubRY
360,The Weeknd - Gasoline (Official Lyric Video),The Weeknd,The Weeknd,2488480,2022-01-09T06:43:08Z,42106,918,AWZF4Em0cwU
361,The Weeknd - How Do I Make You Love Me? (Official LyricVideo),The Weeknd,The Weeknd,5227567,2022-01-09T06:43:08Z,73466,1145,g4tHn1Ng_iM
362,The Weeknd - Take My Breath (Official Lyric Video),The Weeknd,TheWeekndVEVO,5771076,2021-08-06T04:00:17Z,137599,6015,oH1eiyQpw2E
363,The Weeknd - Sacrifice (Official Lyric Video),The Weeknd,The Weeknd,2367687,2022-01-09T06:43:08Z,41894,793,jh0v2SAIW5o
364,The Weeknd - Out Of Time (Official Lyric Video),The Weeknd,The Weeknd,8759141,2022-01-09T06:43:08Z,138909,3474,xBa3YUgQeL4
365,"The Weeknd ft. Tyler, The Creator - Here We Go… Again (Official Lyric Video)",The Weeknd,The Weeknd,3031798,2022-01-09T06:43:08Z,56480,1451,rhVqSATlmQs
366,The Weeknd - Best Friends (Official Lyric Video),The Weeknd,The Weeknd,4067153,2022-01-09T06:43:08Z,70438,1532,hpNBXbJ7rzs
367,The Weeknd - Is There Someone Else? (Official LyricVideo),The Weeknd,The Weeknd,9972228,2022-01-09T06:43:08Z,136392,2200,b-esdxjN8N8
368,The Weeknd - Starry Eyes (Official Lyric Video),The Weeknd,The Weeknd,2322143,2022-01-09T06:43:08Z,47231,1087,_GA3dj_HxO4
369,The Weeknd - Every Angel Is Terrifying (Official Lyric Video),The Weeknd,The Weeknd,1351325,2022-01-09T06:43:08Z,20436,598,kMXs99tPkcg
370,The Weeknd - Don't Break My Heart (Official LyricVideo),The Weeknd,The Weeknd,3580596,2022-01-09T06:43:08Z,47933,724,OeqV6oyNHc0
371,The Weeknd ft. Lil Wayne - I Heard You're Married (Official Lyric Video),The Weeknd,The Weeknd,3779803,2022-01-09T06:43:08Z,48471,941,86kEbw4pvxU
372,The Weeknd - Less Than Zero (Official Lyric Video),The Weeknd,The Weeknd,19343682,2022-01-09T06:43:08Z,226607,6021,UKunvvN2iCk
373,Black Atlass ft. Sonia - By My Side (Official Video) ft. SONiA,The Weeknd,BlackAtlassVEVO,1874942,2020-04-03T19:00:12Z,52316,832,ZZ_DoY7bWNk
374,Black Atlass - Lie To Me (Official Video),The Weeknd,BlackAtlassVEVO,2348913,2020-02-26T20:00:02Z,41377,1177,CvpCLwXSOnk
375,NAV & Gunna ft. Travis Scott - Turks (Official Video) ft. Travis Scott,The Weeknd,NAVVEVO,19062483,2020-03-30T19:00:12Z,421007,23811,WB1xTnTwF3Q
376,NAV & Gunna - Turks feat. Travis Scott (Behind The Scenes),The Weeknd,NAV,193587,2020-04-01T16:44:41Z,7248,341,BnDMTZwN5uQ
377,The Weeknd - Heartless (Official Video),The Weeknd,TheWeekndVEVO,176923787,2019-12-03T22:30:12Z,2085300,66843,1DpH-icPpl0
378,The Weeknd - Blinding Lights (Official Video),The Weeknd,TheWeekndVEVO,727379459,2020-01-21T18:00:10Z,9276229,287557,4NRXx6U8ABQ
379,The Weeknd - After Hours (Short Film),The Weeknd,TheWeekndVEVO,13309958,2020-03-04T16:00:11Z,438709,17827,oq9AgxHvGjw
380,The Weeknd - In Your Eyes (Official Video),The Weeknd,TheWeekndVEVO,103054252,2020-03-23T16:00:10Z,1302779,45919,dqRZDebPIGs
381,The Weeknd - Until I Bleed Out (Official Video),The Weeknd,TheWeekndVEVO,21493629,2020-04-07T16:00:31Z,417120,14354,i58MNnk6BhY
382,The Weeknd ft. ROSALÍA - Blinding Lights [Remix] (Official Lyric Video),The Weeknd,TheWeekndVEVO,48817491,2020-12-04T05:00:11Z,827280,76737,Soly0ne467M
383,NAV - Young Wheezy ft. Gunna (Official Music Video),The Weeknd,NAVVEVO,4415418,2021-01-07T18:00:10Z,109735,3275,NwZiH0IaoAQ
384,The Weeknd’s FULL Pepsi Super Bowl LV Halftime Show,The Weeknd,NFL,60452222,2021-02-08T01:57:48Z,1550514,125276,9rhadTURsrw
385,The Dawn Is Coming (Teaser),The Weeknd,The Weeknd,1523951,2021-08-02T04:49:16Z,156779,15158,DQ7C0aE0I4M
386,The Weeknd - Take My Breath (Official Music Video),The Weeknd,TheWeekndVEVO,149238340,2021-08-06T04:00:09Z,1758171,58877,rhTl_OyehF8
387,The Weeknd - Call Out My Name (Official Audio),The Weeknd,The Weeknd,163818763,2018-03-30T03:07:19Z,1664963,35583,rsEne1ZiQrk
388,The Weeknd - Try Me (Official Audio),The Weeknd,The Weeknd,79082562,2018-03-30T03:07:03Z,525781,9874,y08R20KflNM
389,The Weeknd - Wasted Times (Official Audio),The Weeknd,The Weeknd,57605557,2018-03-30T03:06:44Z,454322,9924,R0rKB_bsUNg
390,The Weeknd - I Was Never There feat. Gesaffelstein (Official Audio),The Weeknd,The Weeknd,144793228,2018-03-30T03:06:27Z,1555737,18674,OlStmta0Vh4
391,The Weeknd - Hurt You feat. Gesaffelstein (Official Audio),The Weeknd,The Weeknd,64283202,2018-03-30T03:05:28Z,439149,9213,wKDU5pXhf5o
392,The Weeknd - Privilege (Official Audio),The Weeknd,The Weeknd,23056470,2018-03-30T03:05:12Z,222114,6260,JcVDXHeD59c
393,The Weeknd - Tell Your Friends (Vevo Presents),The Weeknd,TheWeekndVEVO,1885143,2015-08-31T15:40:00Z,22137,803,3YbIleDN6lE
394,The Weeknd - Can’t Feel My Face (Vevo Presents),The Weeknd,TheWeekndVEVO,3604572,2015-08-31T15:40:00Z,36000,1254,a_7t9y4hZGo
395,The Weeknd - The Hills (Vevo Presents),The Weeknd,TheWeekndVEVO,4953378,2015-08-31T15:40:00Z,54249,2394,Yg7JqhmAaUs
396,The Weeknd - House of Balloons / Glass Table Girls (Vevo Presents),The Weeknd,TheWeekndVEVO,1829246,2015-08-31T15:40:00Z,29938,1289,Nk6Zau-LKtg
397,The Weeknd - High For This (Vevo Presents),The Weeknd,TheWeekndVEVO,2123517,2015-08-31T15:40:00Z,25931,807,CRvAEic_KeU
398,The Weeknd - Trailer (Official Live Performance),The Weeknd,TheWeekndVEVO,890452,2020-11-20T17:00:10Z,55232,2468,WdBQ7q9z7rE
399,The Weeknd - Faith (Official Live Performance) | Vevo,The Weeknd,TheWeekndVEVO,7943843,2020-11-25T17:00:09Z,184888,8721,8xH0sdjMINY
400,The Weeknd - The Weeknd – Save Your Tears (Live on The 2021 Billboard Music Awards),The Weeknd,TheWeekndVEVO,25982575,2021-05-24T04:52:51Z,800374,32181,-Ot0vHUyEpw
401,The Weeknd - The Weeknd – Save Your Tears (Live on The 2021 Billboard Music Awards),The Weeknd,TheWeekndVEVO,25982575,2021-05-24T04:52:51Z,800374,32181,-Ot0vHUyEpw
402,The Weeknd - Save Your Tears (Live at The BRIT Awards 2021),The Weeknd,TheWeekndVEVO,15877838,2021-05-11T21:30:01Z,499283,18990,iKm5-XtXcII
403,The Weeknd’s FULL Pepsi Super Bowl LV Halftime Show,The Weeknd,NFL,60452222,2021-02-08T01:57:48Z,1550514,125276,9rhadTURsrw
404,The Weeknd - In Your Eyes ft Kenny G (Time100 Live Performance),The Weeknd,The Weeknd,4850717,2020-09-25T23:04:05Z,138610,5670,I3f05qYeVl8
405,"The Weeknd - ""Blinding Lights"" (Live on Saturday Night Live / 2020)",The Weeknd,TheWeekndVEVO,6683772,2020-03-08T08:48:53Z,170032,6148,17GxpgE-Fwo
406,"The Weeknd - ""Scared To Live"" (Live on Saturday Night Live / 2020)",The Weeknd,TheWeekndVEVO,5477192,2020-03-08T08:48:25Z,142220,7031,6Nm9RZqBaBM
407,The Weeknd - Blinding Lights (Live On Jimmy Kimmel Live! / 2020),The Weeknd,TheWeekndVEVO,14893109,2020-01-23T08:40:08Z,398013,13783,VJYpyC1SNPc
408,The Weeknd - Heartless (Live on The Late Show with Stephen Colbert / 2019),The Weeknd,TheWeekndVEVO,6845494,2020-01-06T22:07:37Z,148709,3967,MebxOSsP6yk
409,The Weeknd - Blinding Lights (Live on The Late Show with Stephen Colbert / 2019),The Weeknd,TheWeekndVEVO,1878970,2020-01-06T21:56:52Z,57002,1586,kMQSbqZZEfA
410,The Weeknd - The Hills ft. Nicki Minaj (Live on SNL),The Weeknd,TheWeekndVEVO,3156268,2015-10-11T16:02:07Z,44963,2755,EusT7GqGZbg
411,The Weeknd Live @ Late Show With David Letterman - Pretty,The Weeknd,The Weeknd Blog,1408485,2013-10-10T05:21:35Z,18093,1204,djnUXeUaXuo
412,The Weeknd - Pretty (Live),The Weeknd,Freeda Vasquez,1295,2014-04-06T00:11:13Z,111,3,kw9PVMAlLZE
